id;user_id;activity_amo;available_amo;cash_withdrawal;create_time;update_time
1;mobile Fish;77969;59865;59685;Dam;Practical Fresh Pants
2;Metal deposit;5641;96990;72199;Implementation Electronics Officer;methodology Albania
3;Home Namibia;39986;13949;4666;Coordinator;Common
4;Savings Account syndicate Planner;46676;4645;85994;Yuan Renminbi Centers;Factors
5;South Dakota envisioneer Music;23089;68423;24102;Bahamian Dollar Investment Account;Games Regional Digitized
6;copy convergence;20794;54671;56770;Industrial;connect Markets Chief
7;capacitor archive;57044;19598;52083;Tactics;scale interactive generating
8;Specialist Home Loan Account;27599;14092;29627;Car Industrial deliverables;orange Books
9;magenta monitor 1080p;60595;7404;92630;deposit Internal;Investment Account archive Fantastic Plastic Chicken
10;payment;59129;63755;27472;Mississippi embrace Developer;synthesize Idaho compress
