id;answer;type;state;problem;creator;createdate;modifier;modifierdate;modifiernum;logicdelete;csort;other
1;mobile Fish;Home Loan Account Table Computer;Trace;Savings Account alarm;Tasty Metal Bacon;red Chips Soap;Home Loan Account;web-readiness;29122;true;61185;Steel zero administration
2;Multi-channelled Licensed;grey Cambridgeshire;Canyon HDD;Table Small Frozen Sausages Planner;envisioneer Music Public-key;infomediaries;Investment Account;Games Regional Digitized;66252;true;31171;Costa Rica Mayotte
3;Industrial;connect Markets Chief;capacitor archive;sky blue Tasty Plastic Pizza;compress South Georgia and the South Sandwich Islands;compelling mission-critical;bifurcated scalable;Small;98688;false;77224;orange Books
4;magenta monitor 1080p;Unbranded Plastic Tuna Frozen;generating Highway Ergonomic;moratorium moratorium;New York tangible Mississippi;Frozen bus;hard drive Robust Networked;Poland;42754;false;2541;Intelligent Outdoors
5;Harbor Montana;Corporate Phased relationships;white Brand Money Market Account;Salad Web virtual;Refined Squares;maroon;EXE projection Fresh;support Gorgeous;22793;true;42710;copying
6;ability Hat Iraq;magenta Concrete;User-centric Gloves;Mauritania;facilitate Tasty Concrete Chips Exclusive;Buckinghamshire capability zero tolerance;mission-critical;Berkshire Small Plastic Pants Investor;23956;true;14489;Berkshire Designer
7;Credit Card Account;navigate;Re-contextualized;web-enabled invoice withdrawal;bypassing optical;installation;Argentine Peso;Kentucky Algerian Dinar Clothing;51209;true;22649;deposit Sausages
8;disintermediate Cambridgeshire hacking;bricks-and-clicks Concrete Global;Fiji Dollar Profound Bacon;Macao Equatorial Guinea Vision-oriented;Agent;Human deposit;even-keeled Saint Helena Pound;Internal AI optical;64203;true;8413;Cheese Dynamic Home Loan Account
9;transform;invoice Home Gloves;Buckinghamshire Ports;Devolved driver Networked;Fish;payment calculating;local area network Benin;turn-key dedicated;24398;true;97301;target Human withdrawal
10;dot-com payment Libyan Dinar;white sensor local;calculate;Chips;Villages uniform PCI;Automotive Tactics architectures;Wisconsin Facilitator Incredible;reinvent;85113;false;31692;Pants Maryland
