id;statement_id;userid;amount;asset;btype;ctype;direction;payway;ctime;jhi_desc;tracking
1;mobile Fish;Home Loan Account Table Computer;5808;45924;86617;33370;60111;14286;deposit Tasty Metal Bacon Implementation;Chips;Money Market Account
2;Albania web-readiness;Namibia;39986;13949;4666;29214;97375;36636;Common;Savings Account syndicate Planner;Refined Rubber Chicken Table
3;Automotive;Planner cross-platform access;9767;23089;68423;24102;44015;68326;Investment Account;Games Regional Digitized;copy convergence
4;Mayotte;Industrial;84228;77513;44975;93949;39515;89482;Credit Card Account National Awesome;Aruba;software scale interactive
5;Louisiana Specialist Home Loan Account;Plastic;80219;16526;7455;1563;98688;42340;reinvent 24 hour Jewelery;monitor;1080p Checking Account Identity
6;Frozen IB;Highway Ergonomic;37081;31098;66884;32518;66592;72960;withdrawal COM;embrace Developer;synthesize Idaho compress
7;Sleek Metal Table Small;Intelligent Outdoors;63641;47537;31435;56327;50857;69551;Concrete Investment Account Saint Lucia;User-centric;Money Market Account
8;Salad Web virtual;Refined Squares;21844;18657;41650;89255;88328;53934;back-end;granular Direct contextually-based;synergies copying
9;ability Hat Iraq;magenta Concrete;33761;24412;94290;16829;32320;21876;Oklahoma facilitate;Engineer;Exclusive Moroccan Dirham card
10;zero tolerance;mission-critical;97661;50267;41103;5147;3305;27864;Investor Public-key;Lebanon;Designer Persistent
