id;client_type;client_version;download_url;qr_code_fileid;update_log;force_update;publish_time;state;creater;create_time;updater;update_time;logic_delete;update_num;other
1;59646;haptic enhance Cotton;Manager;65776;North Carolina;Home Loan Account Kyat enterprise;microchip turquoise Squares;47251;18015;Sleek AI;34292;Som;2534;7227;Kansas HTTP pixel
2;36039;Fantastic;Awesome;14716;intranet;Universal;Tools Bedfordshire Soft;30767;34283;Wooden Wisconsin Hawaii;71469;Optimized metrics intermediate;8095;53455;lime Gloves Investor
3;32783;e-enable;Plastic Automotive Buckinghamshire;58312;Vermont Small Plastic Ball;Field Synergized;Unbranded Berkshire Forint;26175;96155;Stream Bedfordshire;35164;Customer Iowa index;81180;31219;system optical
4;83293;Consultant solid state;Money Market Account generate;80509;calculating;Cape Tools;Jamaican Dollar;45035;58342;Island Credit Card Account Estates;66170;sky blue Concrete Money Market Account;48468;74860;Berkshire
5;21603;Designer;productize Investment Account online;29966;Operations Pitcairn Islands Money Market Account;Radial Granite violet;Small Steel Chips;35796;24235;withdrawal hacking;55066;Pizza capacitor Investment Account;73125;70086;JBOD interfaces focus group
6;93672;Avon Cambridgeshire;Wooden;32784;generating Money Market Account reinvent;Swaziland Louisiana;IB;8813;8426;cutting-edge Costa Rican Colon global;82767;feed;78902;53534;deposit
7;19648;sky blue;copy;83653;bus Branding;e-tailers Functionality feed;sky blue Gorgeous Australia;82164;72608;Soft;30277;Lao People's Democratic Republic Arizona Savings Account;16625;70742;pixel Principal
8;58268;Frozen Soft pixel;pink;66668;Checking Account Savings Account;relationships empowering;Reunion;19755;81314;Digitized bypass deploy;50668;ADP compress;80511;55817;robust
9;93286;Regional Bedfordshire parallelism;backing up RSS flexibility;85221;Small Steel Towels Credit Card Account Sleek Plastic Computer;Director Bedfordshire Money Market Account;Manors;47538;42914;Handmade Practical transmitting;23981;white;50491;82797;streamline Planner Cove
10;79193;streamline;navigating Metal;4515;experiences compressing;Practical;Generic Cotton Pizza Louisiana;57090;65378;granular;61721;PCI;23135;9949;parse Facilitator
