id;name;introduction;picture_format;picture_link;sort;link;adv_type;link_type;type;state;created_date;last_modified_date
1;mobile Fish;Home Loan Account Table Computer;Trace;Savings Account alarm;2058;Producer;Implementation Electronics Officer;61748;30424;1;2019-11-06T17:24:40;2019-11-07T05:50:08
2;Home Namibia;Steel zero administration;Multi-channelled Licensed;grey Cambridgeshire;59241;Refined Rubber Chicken Table;Automotive;94220;96563;1;2019-11-06T10:36:14;2019-11-06T20:45:19
3;Music;Nakfa;Bahamian Dollar Investment Account;Games Regional Digitized;66252;hardware Costa Rica Mayotte;Industrial;84228;77513;0;2019-11-06T07:27:27;2019-11-06T20:31:18
4;Communications capacitor archive;sky blue Tasty Plastic Pizza;compress South Georgia and the South Sandwich Islands;compelling mission-critical;54269;Plastic;Car Industrial deliverables;39488;19871;0;2019-11-07T05:52:22;2019-11-07T05:40:02
5;magenta monitor 1080p;Unbranded Plastic Tuna Frozen;generating Highway Ergonomic;moratorium moratorium;72960;withdrawal COM;embrace Developer;84891;76078;1;2019-11-06T16:32:05;2019-11-07T00:20:30
6;Networked Sleek Metal Table Small;Intelligent Outdoors;Harbor Montana;Corporate Phased relationships;75555;User-centric;Money Market Account;69478;16122;1;2019-11-06T07:41:34;2019-11-06T15:01:15
7;modular Refined Squares;maroon;EXE projection Fresh;support Gorgeous;22793;synergies copying;ability Hat Iraq;48482;22210;1;2019-11-07T03:07:43;2019-11-06T23:32:22
8;User-centric Gloves;Mauritania;facilitate Tasty Concrete Chips Exclusive;Buckinghamshire capability zero tolerance;3688;Personal Loan Account;paradigms Home;34507;90826;1;2019-11-07T00:15:21;2019-11-06T13:40:07
9;Lebanon;Designer Persistent;Handmade 24/7 Re-contextualized;web-enabled invoice withdrawal;53577;Licensed hacking installation;Argentine Peso;85835;59089;0;2019-11-06T13:44:38;2019-11-07T00:43:10
10;firewall;Future-proofed deposit Sausages;disintermediate Cambridgeshire hacking;bricks-and-clicks Concrete Global;87733;Enhanced deposit parsing;Borders content-based;99625;9310;1;2019-11-06T08:28:20;2019-11-06T16:36:23
