id;user_id;type;income_amo;transformation_amo;interest_rate;create_time
1;Sleek Metal Table Small;43933;10789;20171;3142;withdrawal knowledge base Buckinghamshire
2;Concrete Investment Account Saint Lucia;20306;22879;94285;7697;neutral Salad
3;Auto Loan Account modular Refined;45653;80367;21844;18657;Human Ghana
4;Fresh granular Direct;27213;22793;64769;42710;copying
5;ability Hat Iraq;48482;22210;69243;11986;24/7
6;Gloves sky blue Oklahoma;40383;36362;6489;97178;Functionality
7;Moroccan Dirham;71227;30087;14808;28484;Computers Personal Loan Account Berkshire
8;Home;34507;90826;63435;23956;Granite Berkshire Designer
9;Credit Card Account;8085;76161;36965;23763;transmitter
10;Point Orchestrator;39882;53577;81643;9028;hacking installation magenta
