id;dealtype;userid;sourcer;benefit;payway;amount;bonus;happendate;freezedate;dealstate;creator;createdate;modifier;modifierdate;modifiernum;logicdelete;other
1;Awesome Concrete Shoes applications;Small;Global compressing;hacking hack protocol;monitor Integration models;11914;30770;Future-proofed Fantastic Soft Soap;program Handmade Automotive;Intelligent Balanced override;Generic Cotton Car;Hills system Russian Ruble;Cambridgeshire PNG SMTP;Jewelery;53496;false;Assistant
2;website Pennsylvania;Seamless;JBOD exploit;Gorgeous firewall cutting-edge;Graphic Interface;95404;23475;backing up;Internal Small Frozen Gloves;Customer-focused Operative Intelligent Concrete Table;Gorgeous Concrete Table dynamic;JBOD Forward;card Bosnia and Herzegovina;Tactics Handmade Plastic Chips extranet;32040;true;synthesizing
3;Metal withdrawal Plastic;Automotive;green transmitting Bouvet Island (Bouvetoya);Sausages;Re-engineered GB;16881;44007;Avon tan Soft;Optimization Lead synthesizing;Officer Money Market Account Bedfordshire;productize unleash Jersey;Ohio;Mouse hierarchy Buckinghamshire;payment systems deposit;11822;true;Licensed architect
4;green Response;Functionality;Director protocol Costa Rican Colon;transform Assurance Granite;bypassing Cambridgeshire Investment Account;47774;77523;enterprise Credit Card Account;deposit;Operations Legacy;quantifying Trinidad and Tobago Dollar Senior;efficient moratorium invoice;Savings Account generating;haptic enhance Cotton;19668;true;withdrawal
5;invoice Home Loan Account;Guinea transmit microchip;Mall;Estate transform Cambridgeshire;mission-critical Som;2534;7227;Kansas HTTP pixel;Cloned aggregate;Cambodia;intranet;Universal;Tools Bedfordshire Soft;plug-and-play;11148;false;Planner lime
6;Optimized metrics intermediate;Tajikistan;panel;Investor;grey;89023;75982;clicks-and-mortar;Buckinghamshire New Jersey Vermont;Incredible Concrete Shoes;white USB;Central;Forint well-modulated;Stream Bedfordshire;35164;true;Mayotte process improvement schemas
7;bricks-and-clicks;optical copying;neural Communications Money Market Account;Singapore Refined Soft Shirt Cape;streamline;67375;38746;Pennsylvania Island;withdrawal olive;sky blue Concrete Money Market Account;back up Berkshire;Tasty;interface Communications;online superstructure;96210;true;pixel Public-key
8;Bahamian Dollar Bedfordshire;Movies Small Frozen Pants;open-source;hacking Rwanda;USB;93871;60025;feed program;interfaces focus group Web;Sleek Fresh Mouse Wooden;transmitting;Money Market Account reinvent;Swaziland Louisiana;IB;8813;false;cutting-edge Costa Rican Colon global
9;Fish application Brazil;Concrete composite;Handmade Plastic Pizza Oklahoma;Branding system time-frame;feed;93016;19287;Gorgeous Australia;bandwidth Soft protocol;Borders Generic Wooden Keyboard;repurpose Personal Loan Account Planner;Frozen Soft pixel;pink;Borders Kids Multi-tiered;40788;true;innovative
10;microchip neural;indigo;deploy;invoice mindshare;multi-byte;13684;34700;Interactions;syndicate empowering monitor;Sports Harbors cutting-edge;Small Steel Towels Credit Card Account Sleek Plastic Computer;Director Bedfordshire Money Market Account;Manors;users Handmade;10616;false;overriding Concrete Object-based
